date,prediction,probability,actual_label,actual_return,pnl
2017-01-30,0,0.19629264,0,-0.002627482508988211,0.0
2017-01-31,0,0.13188547,0,-0.0023047325650520163,0.0
2017-02-01,0,0.14041671,1,0.05919357097584994,0.0
2017-02-02,0,0.3450479,0,-0.0017100634143746819,0.0
2017-02-03,0,0.13426886,0,0.004269816252938444,0.0
2017-02-06,0,0.119687736,1,0.009330202958470897,0.0
2017-02-07,1,0.53228277,1,0.00947232772421454,0.00847232772421454
2017-02-08,0,0.48295614,0,0.00386993468413801,0.0
2017-02-09,0,0.08879176,1,0.007200335636928572,0.0
2017-02-10,0,0.4505528,0,-0.0022683157563684773,0.0
2017-02-13,0,0.30509123,1,0.00881667320660117,0.0
2017-02-14,1,0.55571896,1,0.0128957965414538,0.011895796541453799
2017-02-15,0,0.33233032,0,0.003622212621162788,0.0
2017-02-16,0,0.34296224,0,-0.0011815326658928945,0.0
2017-02-17,0,0.39560187,0,0.0027302926799635226,0.0
2017-02-21,0,0.39760122,1,0.007194973695633992,0.0
2017-02-22,1,0.54292655,0,0.002994598951654597,0.001994598951654597
2017-02-23,0,0.41504216,0,-0.004238929161036151,0.0
2017-02-24,0,0.4161308,0,0.0009514374014689618,0.0
2017-02-27,0,0.24247885,0,0.001973586900051124,0.0
2017-02-28,0,0.22524823,0,0.00043826047066403053,0.0
2017-03-01,0,0.101962894,1,0.02023316765112546,0.0
2017-03-02,0,0.1694233,0,-0.0059550275559712,0.0
2017-03-03,0,0.23914245,1,0.005883637321995197,0.0
2017-03-06,1,0.50369465,0,-0.003152737332549811,-0.004152737332549811
2017-03-07,0,0.49933743,0,0.0012912533675451749,0.0
2017-03-08,0,0.37298477,0,-0.003734344994307389,0.0
2017-03-09,0,0.24456072,0,-0.002304432765062698,0.0
2017-03-10,0,0.32771316,0,0.0033110509459520214,0.0
2017-03-13,0,0.2603888,0,0.0004311824373831395,0.0
2017-03-14,0,0.19309242,0,-0.0015097152748308872,0.0
2017-03-15,0,0.17059313,1,0.010521040895091094,0.0
2017-03-16,0,0.20043638,0,0.001636033121008682,0.0
2017-03-17,0,0.27490407,0,-0.004987669890278868,0.0
2017-03-20,0,0.17300732,1,0.010445339425470497,0.0
2017-03-21,0,0.23201485,0,-0.011517555420012336,0.0
2017-03-22,0,0.29050884,1,0.011234985981474469,0.0
2017-03-23,1,0.670313,0,-0.0035422074087261965,-0.0045422074087261965
2017-03-24,1,0.5611378,0,-0.0019886660942765064,-0.0029886660942765064
2017-03-27,1,0.6068292,0,0.001705130750843826,0.0007051307508438259
2017-03-28,0,0.31220698,1,0.020514896095601764,0.0
2017-03-29,1,0.5012609,0,0.0022229333953881643,0.0012229333953881643
2017-03-30,0,0.46360156,0,-0.0013192312625136644,0.0
2017-03-31,0,0.38329744,0,-0.0018774542278274073,0.0
2017-04-03,0,0.39482862,0,0.000277819714013821,0.0
2017-04-04,0,0.2994133,1,0.007419125196601162,0.0
2017-04-05,0,0.36294293,0,-0.005193958788448527,0.0
2017-04-06,1,0.63761336,0,-0.002502986122166629,-0.003502986122166629
2017-04-07,1,0.53530914,0,-0.00223017380010135,-0.00323017380010135
2017-04-10,0,0.44123828,0,-0.0011868851292764064,0.0
2017-04-11,0,0.3363008,0,-0.010814548998190692,0.0
2017-04-12,0,0.2193046,0,0.0011995500274679502,0.0
2017-04-13,0,0.23880626,0,-0.005302803103354267,0.0
2017-04-17,0,0.24185413,1,0.005514257020796766,0.0
2017-04-18,0,0.40956685,0,-0.0044514678000130885,0.0
2017-04-19,0,0.47129765,0,-0.0036898320677465277,0.0
2017-04-20,0,0.35043278,1,0.012433625363275807,0.0
2017-04-21,0,0.2614305,0,-0.0011946202036475647,0.0
2017-04-24,0,0.30425426,1,0.009583500550644618,0.0
2017-04-25,1,0.68957573,1,0.006177182136957269,0.005177182136957269
2017-04-26,1,0.6457164,0,-0.00589829048432622,-0.00689829048432622
2017-04-27,1,0.52300274,0,0.0007648592053698306,-0.0002351407946301694
2017-04-28,0,0.33563444,0,-0.0009738197080026855,0.0
2017-05-01,0,0.3153872,1,0.020191112175389585,0.0
2017-05-02,0,0.28682172,1,0.006324638091150049,0.0
2017-05-03,1,0.7236597,0,-0.0030549089401152893,-0.004054908940115289
2017-05-04,0,0.3824803,0,-0.00361041626068475,0.0
2017-05-05,0,0.2752697,1,0.016447599645989346,0.0
2017-05-08,1,0.5691904,1,0.02682549201055195,0.02582549201055195
2017-05-09,0,0.26651624,1,0.006384053714922018,0.0
2017-05-10,0,0.4935367,0,-0.004751980976183746,0.0
2017-05-11,0,0.35747412,1,0.008611598991492903,0.0
2017-05-12,1,0.8041336,1,0.013868312285364006,0.012868312285364007
2017-05-15,1,0.6678964,0,-0.002565397701789519,-0.003565397701789519
2017-05-16,0,0.43956476,0,-0.0014782450949761981,0.0
2017-05-17,0,0.36014643,0,-0.03415211624117347,0.0
2017-05-18,0,0.46383366,1,0.015126209074510717,0.0
2017-05-19,0,0.35810184,0,0.003402990309755222,0.0
2017-05-22,0,0.38244808,1,0.006057927911491596,0.0
2017-05-23,1,0.6480414,0,-0.0012345642364554041,-0.0022345642364554044
2017-05-24,0,0.19470985,0,-0.0029956047854387004,0.0
2017-05-25,0,0.21697858,0,0.0034502844539386008,0.0
2017-05-26,0,0.15126857,0,-0.0016911976934130082,0.0
2017-05-30,0,0.22530623,0,0.0003908921328630424,0.0
2017-05-31,0,0.16472128,0,-0.0059394886336609914,0.0
2017-06-01,0,0.37479407,0,0.0027454392306446723,0.0
2017-06-02,0,0.1776139,1,0.014710526960935407,0.0
2017-06-05,0,0.4387162,0,-0.009826260402453896,0.0
2017-06-06,0,0.4507912,0,0.0033726323779610682,0.0
2017-06-07,0,0.37982342,1,0.005938444800671871,0.0
2017-06-08,1,0.77138996,0,-0.0024481547415624817,-0.0034481547415624817
2017-06-09,1,0.5721926,0,-0.039548325002049384,-0.040548325002049385
2017-06-12,1,0.5262434,0,-0.024186405395998072,-0.025186405395998073
2017-06-13,0,0.34933507,1,0.008013497611030096,0.0
2017-06-14,0,0.48145655,0,-0.009802828159235152,0.0
